Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

398.625,   5.9423E-008,   3.4856E-006,   3.0476E-011,   1.8703E-011,   1.8440E-011,   2.8013E-009,   1.2656E-009,   3.6651E-013,   8.2255E-012,   1.1486E-012,  
404.719,   6.1952E-008,   3.4898E-006,   8.4832E-012,   1.8045E-011,   1.8586E-011,   2.9151E-009,   1.5474E-009,   6.6569E-012,   4.2857E-012,   6.8335E-012,  
410.734,   5.9493E-008,   3.4925E-006,   3.1725E-011,   1.7831E-011,   1.7666E-011,   3.0018E-009,   1.4444E-009,   4.1110E-013,   7.8840E-012,   6.3903E-012,  
416.797,   6.2631E-008,   3.4785E-006,   7.8260E-012,   1.8251E-011,   1.7803E-011,   2.9115E-009,   1.4977E-009,   5.9212E-013,   4.8707E-012,   6.5009E-012,  
422.844,   6.1915E-008,   3.4746E-006,   2.7833E-011,   1.9438E-011,   1.8538E-011,   2.8582E-009,   1.2484E-009,   7.5799E-013,   5.2114E-012,   7.9901E-012,  
428.875,   5.9374E-008,   3.4941E-006,   2.7271E-011,   1.8997E-011,   1.8407E-011,   2.7669E-009,   1.3848E-009,   5.7875E-013,   3.9451E-012,   5.8855E-012,  
434.937,   6.1054E-008,   3.4809E-006,   3.0502E-011,   1.8347E-011,   1.7891E-011,   2.8067E-009,   1.5709E-009,   3.7810E-013,   3.9754E-012,   1.1227E-012,  
440.984,   5.8451E-008,   3.4663E-006,   2.9970E-011,   1.6987E-011,   1.8280E-011,   2.9322E-009,   1.4372E-009,   4.5479E-013,   4.5889E-012,   7.1893E-012,  
447.015,   5.6820E-008,   3.4891E-006,   2.9875E-011,   1.8941E-011,   1.8035E-011,   2.8229E-009,   1.4779E-009,   6.8843E-013,   4.1226E-012,   1.3644E-012,  
453.078,   5.8791E-008,   3.4735E-006,   3.1102E-011,   1.8910E-011,   1.7939E-011,   2.9151E-009,   1.3514E-009,   1.1058E-013,   4.9341E-012,   1.1129E-012,  
