Aug 14, 2026  10:22:39 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 14, 2026  10:22:39 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  
506.859,   5.7064e-008  2.7360e-006  2.8136e-011  1.8426e-011  1.8223e-011  3.5239e-009  2.0434e-009  1.8013e-013  7.8822e-012  5.2702e-013 
512.891,   5.7488e-008  2.7331e-006  2.7794e-011  1.7868e-011  1.7633e-011  3.4137e-009  1.9548e-009  3.7186e-013  6.7497e-012  5.3862e-013 
518.953,   5.5992e-008  2.7456e-006  2.8222e-011  1.7973e-011  1.7913e-011  3.6387e-009  1.7290e-009  4.1466e-013  8.8729e-012  3.6116e-013 
525.047,   5.4201e-008  2.7292e-006  2.7802e-011  1.8125e-011  1.8597e-011  3.4490e-009  2.3080e-009  2.7823e-013  7.3623e-012  1.9975e-013 
531.078,   5.5768e-008  2.7284e-006  2.9379e-011  1.8585e-011  1.7913e-011  3.4571e-009  1.8663e-009  4.6906e-013  6.8228e-012  3.4332e-013 
537.156,   5.7683e-008  2.7131e-006  2.7773e-011  1.6951e-011  1.8387e-011  3.1743e-009  2.0461e-009  2.8358e-013  8.7695e-012  4.3428e-013 
543.219,   5.4716e-008  2.7212e-006  2.7871e-011  1.6607e-011  1.8321e-011  3.5059e-009  2.1012e-009  2.6752e-013  8.2264e-012  5.0562e-013 
549.266,   5.4472e-008  2.7184e-006  2.6594e-011  1.7444e-011  1.8281e-011  3.3144e-009  1.9377e-009  2.0243e-013  7.9758e-012  4.3339e-013 
555.297,   5.9440e-008  2.7268e-006  2.8128e-011  1.7478e-011  1.7468e-011  3.3911e-009  1.9304e-009  4.2982e-013  7.6762e-012  6.8576e-013 
561.328,   5.7967e-008  2.7110e-006  2.9076e-011  1.7242e-011  1.7166e-011  3.7796e-009  1.9819e-009  2.2205e-013  7.0805e-012  2.8625e-013 
567.359,   5.5522e-008  2.7146e-006  2.6824e-011  1.7584e-011  1.8614e-011  3.6549e-009  1.9006e-009  2.0421e-013  7.6904e-012  5.0830e-013 
573.391,   5.2336e-008  2.7182e-006  2.7833e-011  1.8620e-011  1.8241e-011  3.2313e-009  2.0027e-009  3.2371e-013  6.1335e-012  4.4587e-013 
579.438,   5.4776e-008  2.7127e-006  2.8240e-011  1.7905e-011  1.8019e-011  3.4562e-009  1.8130e-009  6.7060e-013  7.3222e-012  2.4434e-013 
585.469,   5.2358e-008  2.7189e-006  1.0112e-012  1.7862e-011  1.8079e-011  3.6170e-009  1.9241e-009  8.2933e-014  5.6920e-012  7.3837e-013 
591.500,   5.2922e-008  2.7064e-006  2.6582e-011  1.6307e-011  1.7079e-011  3.4354e-009  1.9575e-009  3.6740e-013  5.5208e-012  1.8994e-013 
597.547,   5.5671e-008  2.7087e-006  2.6748e-011  1.8113e-011  1.7473e-011  3.5926e-009  2.1762e-009  4.2626e-013  5.3460e-012  3.5581e-013 
603.594,   5.4481e-008  2.7039e-006  2.7049e-011  1.7357e-011  1.6726e-011  3.1752e-009  1.9178e-009  1.0433e-013  8.8025e-012  2.2205e-013 
609.594,   5.2491e-008  2.6855e-006  2.8528e-011  1.7983e-011  1.8068e-011  3.3776e-009  1.7724e-009  5.5556e-013  7.2535e-012  5.9301e-013 
615.609,   5.2952e-008  2.7399e-006  3.0146e-011  1.8009e-011  1.7536e-011  3.4101e-009  1.7118e-009  7.1697e-013  7.6976e-012  5.4932e-013 
621.625,   5.1504e-008  2.6199e-006  7.8750e-012  1.7763e-011  1.8210e-011  3.3207e-009  1.8094e-009  4.2893e-013  5.4423e-012  8.5430e-013 
627.641,   4.7079e-008  2.4708e-006  2.7436e-011  1.8236e-011  1.6975e-011  3.2638e-009  1.8627e-009  7.4372e-013  6.8567e-012  4.3607e-013 
633.734,   4.3401e-008  2.3987e-006  2.8930e-011  1.6153e-011  1.6741e-011  3.4959e-009  1.8031e-009  4.7263e-013  7.7769e-012  5.0830e-013 
639.734,   4.6810e-008  2.4188e-006  6.8620e-012  1.7806e-011  1.6903e-011  3.5384e-009  2.0632e-009  4.3963e-013  8.3655e-012  3.5492e-013 
645.750,   4.4597e-008  2.4046e-006  2.7757e-011  1.6209e-011  1.7332e-011  3.4201e-009  1.8130e-009  6.0282e-013  5.0856e-012  6.2690e-013 
651.813,   4.5852e-008  2.4223e-006  2.7422e-011  1.7383e-011  1.7695e-011  3.3189e-009  1.5881e-009  2.8625e-013  7.0698e-012  6.1709e-013 
657.813,   4.4403e-008  2.4223e-006  2.8354e-011  1.7297e-011  1.7366e-011  3.6269e-009  1.6522e-009  7.8831e-013  8.0471e-012  4.2715e-013 
663.859,   4.7605e-008  2.4157e-006  2.7682e-011  1.7268e-011  1.7878e-011  3.3180e-009  1.5348e-009  5.4129e-013  9.6309e-012  4.6193e-013 
669.859,   4.5331e-008  2.3873e-006  2.8746e-011  1.5185e-011  1.7380e-011  3.3026e-009  1.8428e-009  2.4077e-013  6.7372e-012  2.9428e-013 
675.938,   4.2201e-008  2.3698e-006  2.7462e-011  1.7205e-011  1.7661e-011  3.3839e-009  1.6820e-009  2.7377e-013  8.7365e-012  3.4422e-013 
681.984,   4.3293e-008  2.3424e-006  5.9150e-012  1.6633e-011  1.7078e-011  3.3668e-009  1.6820e-009  4.8511e-013  6.1308e-012  5.4218e-013 
688.000,   4.1028e-008  2.2658e-006  2.8087e-011  1.6834e-011  1.6729e-011  3.4327e-009  1.7995e-009  5.1721e-013  6.2351e-012  4.1110e-013 
694.078,   4.0297e-008  2.1133e-006  2.7978e-011  1.6868e-011  1.7184e-011  3.2421e-009  5.9178e-007  3.2906e-013  7.1028e-012  3.8880e-013 
700.109,   4.2875e-008  1.9216e-006  3.1106e-011  4.4518e-011  5.2692e-011  3.5420e-009  1.7575e-006  8.1773e-013  1.3405e-011  6.2975e-012 
706.141,   4.4206e-008  1.9717e-006  3.1749e-011  6.3603e-011  6.7102e-011  3.6784e-009  1.9268e-006  7.5424e-012  1.5994e-011  7.1064e-012 
712.141,   4.3609e-008  2.0361e-006  1.0792e-011  6.7713e-011  6.9255e-011  3.3252e-009  1.9010e-006  3.2272e-012  1.7019e-011  6.6872e-012 
