Jul 29, 2026  10:22:26 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jul 29, 2026  10:22:26 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

295.609,   4.7143E-008,   2.4865E-006,   3.3272E-011,   7.7430E-011,   2.1725E-011,   3.0271E-009,   1.5050E-009,  -3.8167E-013,   7.7662E-012,   8.2219E-013,  
301.609,   4.9409E-008,   2.4941E-006,   3.1316E-011,   1.1535E-010,   2.1694E-011,   3.2285E-009,   1.5989E-009,   9.4436E-013,   7.3971E-012,   5.7785E-013,  
307.625,   4.6265E-008,   2.5013E-006,   3.3538E-011,   1.2607E-010,   1.9936E-011,   3.1608E-009,   1.5917E-009,   1.7835E-015,   7.3275E-012,   7.2678E-013,  
313.672,   4.4609E-008,   2.4830E-006,   8.1756E-012,   1.0473E-010,   2.1525E-011,   3.1536E-009,   1.3415E-009,   4.2626E-013,   8.2398E-012,   3.9594E-013,  
319.734,   4.7033E-008,   2.4766E-006,   3.2618E-011,   7.1801E-011,   2.0585E-011,   3.0705E-009,   1.4607E-009,   5.5199E-013,   8.0971E-012,   5.1008E-013,  
325.718,   4.5715E-008,   2.4763E-006,   1.2096E-011,   4.5113E-011,   2.1775E-011,   3.5402E-009,   1.4146E-009,   6.0550E-013,   8.4235E-012,   6.6792E-013,  
331.750,   4.6447E-008,   2.4788E-006,   3.2709E-011,   3.1427E-011,   2.0310E-011,   3.2529E-009,   1.3650E-009,   2.9784E-013,   8.4832E-012,   5.5734E-013,  
337.781,   4.5228E-008,   2.4870E-006,   3.2148E-011,   2.5877E-011,   2.1118E-011,   3.4878E-009,   1.5050E-009,   1.6854E-013,   7.2303E-012,   8.0257E-013,  
343.875,   4.6313E-008,   2.4770E-006,   3.2321E-011,   2.3039E-011,   2.1589E-011,   3.3397E-009,   1.5854E-009,   3.8345E-014,   8.6000E-012,   5.6715E-013,  
349.953,   4.7828E-008,   2.4692E-006,   2.9683E-011,   2.0171E-011,   2.1519E-011,   3.3921E-009,   1.5781E-009,   4.2715E-013,   6.1263E-012,   3.7899E-013,  
355.984,   4.5336E-008,   2.4788E-006,   2.9969E-011,   2.1588E-011,   2.1307E-011,   3.2746E-009,   1.7164E-009,   3.5848E-013,   7.7591E-012,   1.0612E-012,  
