Aug 20, 2026  11:15:01 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 20, 2026  11:15:01 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          CO2                   1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

587.781,   6.8497E-008,   2.8452E-006,   3.4377E-011,   1.5975E-011,   1.8901E-011,   3.0976E-009,   1.9584E-009,   5.7161E-013,   8.0043E-012,   8.7213E-013,  
593.766,   6.9565E-008,   2.8412E-006,   3.5476E-011,   1.6216E-011,   1.9623E-011,   3.1192E-009,   1.9413E-009,   2.6931E-013,   6.4803E-012,   5.0741E-013,  
599.781,   6.5940E-008,   2.8424E-006,   3.4095E-011,   1.6838E-011,   1.8727E-011,   3.0949E-009,   1.6179E-009,   4.6193E-013,   9.2376E-012,   4.8600E-013,  
605.766,   6.7344E-008,   2.8369E-006,   3.4902E-011,   1.6435E-011,   1.9200E-011,   3.4092E-009,   1.9982E-009,   6.1531E-013,   7.5959E-012,   3.5046E-013,  
611.766,   6.5954E-008,   2.8495E-006,   3.3713E-011,   1.6127E-011,   1.9376E-011,   3.3523E-009,   1.9440E-009,   5.1989E-013,   8.0284E-012,   5.3416E-013,  
617.813,   6.7419E-008,   2.8461E-006,   3.4986E-011,   1.6046E-011,   1.9150E-011,   3.2294E-009,   1.8907E-009,   2.2561E-013,   7.0832E-012,   6.0104E-013,  
623.813,   6.6290E-008,   2.8288E-006,   3.4761E-011,   1.6558E-011,   1.8655E-011,   3.4309E-009,   1.8067E-009,   1.0790E-013,   7.1937E-012,   3.8078E-013,  
629.813,   7.1318E-008,   2.8243E-006,   3.5038E-011,   1.6536E-011,   1.8922E-011,   3.0416E-009,   1.7118E-009,   4.4498E-013,   7.3355E-012,   3.1479E-013,  
635.797,   6.8909E-008,   2.8309E-006,   3.4587E-011,   1.5934E-011,   1.8498E-011,   3.2105E-009,   1.7516E-009,   1.6141E-013,   8.1256E-012,   3.9415E-013,  
641.781,   6.7726E-008,   2.8922E-006,   9.8583E-012,   1.5926E-011,   1.8818E-011,   3.0488E-009,   2.0126E-009,   1.9529E-013,   8.4128E-012,   7.9366E-014,  
647.797,   6.5547E-008,   2.8254E-006,   3.3120E-011,   1.6534E-011,   1.7954E-011,   3.2737E-009,   1.9277E-009,   9.8092E-014,   6.3234E-012,   2.8447E-013,  
653.797,   6.1588E-008,   2.6059E-006,   3.1950E-011,   1.6450E-011,   1.9330E-011,   3.7191E-009,   1.8564E-009,   6.3403E-013,   7.4417E-012,   4.4855E-013,  
659.797,   5.7524E-008,   2.4743E-006,   3.2301E-011,   1.5607E-011,   1.9198E-011,   3.0524E-009,   1.7453E-009,   4.8065E-013,   7.0627E-012,   6.6881E-013,  
665.797,   5.4079E-008,   2.4307E-006,   3.1004E-011,   1.4849E-011,   1.7759E-011,   3.2791E-009,   1.7489E-009,   7.4907E-014,   6.5865E-012,  -2.6842E-013,  
671.797,   5.2369E-008,   2.4289E-006,   3.3564E-011,   1.5149E-011,   1.7919E-011,   3.3857E-009,   1.5140E-009,   4.2358E-013,   6.5017E-012,   2.0064E-013,  
677.797,   5.4763E-008,   2.4317E-006,   1.2640E-011,   1.4775E-011,   1.7864E-011,   3.1156E-009,   1.5140E-009,   2.3185E-013,   6.5704E-012,   3.6562E-013,  
683.797,   5.1653E-008,   2.4397E-006,   3.1935E-011,   1.5757E-011,   1.7920E-011,   3.0027E-009,   1.8329E-009,   3.1033E-013,   9.3357E-012,   7.1162E-013,  
689.797,   5.5962E-008,   2.4352E-006,   3.0972E-011,   1.6203E-011,   1.8898E-011,   2.9919E-009,   1.6016E-009,   5.5199E-013,   6.5321E-012,   4.4231E-013,  
695.797,   5.4173E-008,   2.4258E-006,   3.3361E-011,   1.5993E-011,   1.8169E-011,   2.8121E-009,   1.6612E-009,   9.8984E-014,   7.4541E-012,   6.6435E-013,  
701.797,   5.5167E-008,   2.3932E-006,   3.1906E-011,   1.5939E-011,   1.8615E-011,   2.8907E-009,   1.7651E-009,   4.7084E-013,   6.6061E-012,   3.5492E-013,  
707.797,   5.2035E-008,   2.3596E-006,   3.1702E-011,   1.5549E-011,   1.8702E-011,   3.0614E-009,   1.7118E-009,   3.0409E-013,   8.6455E-012,   3.2103E-013,  
713.781,   5.0126E-008,   2.2558E-006,   3.2465E-011,   1.4537E-011,   1.8676E-011,   3.5962E-009,   1.6486E-009,   3.9415E-013,   6.4224E-012,   2.9606E-013,  
719.797,   4.7763E-008,   2.0663E-006,   1.0186E-011,   1.4916E-011,   1.7522E-011,   3.3243E-009,   8.0442E-007,   2.2205E-013,   7.6726E-012,   4.1110E-013,  
725.797,   4.8297E-008,   1.8217E-006,   3.5549E-011,   4.3729E-011,   6.9639E-011,   3.2855E-009,   2.2210E-006,   6.3314E-013,   1.1133E-011,   8.0980E-012,  
